subject,filePath,channel
7,training_data/training_data_patch_6.h5|segmentation|0|3,mass_transport_deposit
7,training_data/training_data_patch_6.h5|segmentation|0|4,slope_mudstone_b
7,training_data/training_data_patch_6.h5|segmentation|0|5,slope_valley
7,training_data/training_data_patch_6.h5|segmentation|0|6,submarine_canyon
8,training_data/training_data_patch_7.h5|volume|0,image
8,training_data/training_data_patch_7.h5|segmentation|0|1,basement
8,training_data/training_data_patch_7.h5|segmentation|0|2,slope_mudstone_a
8,training_data/training_data_patch_7.h5|segmentation|0|3,mass_transport_deposit
8,training_data/training_data_patch_7.h5|segmentation|0|4,slope_mudstone_b
8,training_data/training_data_patch_7.h5|segmentation|0|5,slope_valley
8,training_data/training_data_patch_7.h5|segmentation|0|6,submarine_canyon
9,training_data/training_data_patch_8.h5|volume|0,image
9,training_data/training_data_patch_8.h5|segmentation|0|1,basement
9,training_data/training_data_patch_8.h5|segmentation|0|2,slope_mudstone_a
9,training_data/training_data_patch_8.h5|segmentation|0|3,mass_transport_deposit
9,training_data/training_data_patch_8.h5|segmentation|0|4,slope_mudstone_b
9,training_data/training_data_patch_8.h5|segmentation|0|5,slope_valley
9,training_data/training_data_patch_8.h5|segmentation|0|6,submarine_canyon
10,training_data/training_data_patch_9.h5|volume|0,image
10,training_data/training_data_patch_9.h5|segmentation|0|1,basement
10,training_data/training_data_patch_9.h5|segmentation|0|2,slope_mudstone_a
10,training_data/training_data_patch_9.h5|segmentation|0|3,mass_transport_deposit
10,training_data/training_data_patch_9.h5|segmentation|0|4,slope_mudstone_b
10,training_data/training_data_patch_9.h5|segmentation|0|5,slope_valley
10,training_data/training_data_patch_9.h5|segmentation|0|6,submarine_canyon
11,training_data/training_data_patch_10.h5|volume|0,image
11,training_data/training_data_patch_10.h5|segmentation|0|1,basement
11,training_data/training_data_patch_10.h5|segmentation|0|2,slope_mudstone_a
11,training_data/training_data_patch_10.h5|segmentation|0|3,mass_transport_deposit
11,training_data/training_data_patch_10.h5|segmentation|0|4,slope_mudstone_b
11,training_data/training_data_patch_10.h5|segmentation|0|5,slope_valley
11,training_data/training_data_patch_10.h5|segmentation|0|6,submarine_canyon
12,training_data/training_data_patch_11.h5|volume|0,image
12,training_data/training_data_patch_11.h5|segmentation|0|1,basement
12,training_data/training_data_patch_11.h5|segmentation|0|2,slope_mudstone_a
12,training_data/training_data_patch_11.h5|segmentation|0|3,mass_transport_deposit
12,training_data/training_data_patch_11.h5|segmentation|0|4,slope_mudstone_b
12,training_data/training_data_patch_11.h5|segmentation|0|5,slope_valley
12,training_data/training_data_patch_11.h5|segmentation|0|6,submarine_canyon
13,training_data/training_data_patch_12.h5|volume|0,image
13,training_data/training_data_patch_12.h5|segmentation|0|1,basement
13,training_data/training_data_patch_12.h5|segmentation|0|2,slope_mudstone_a
13,training_data/training_data_patch_12.h5|segmentation|0|3,mass_transport_deposit
13,training_data/training_data_patch_12.h5|segmentation|0|4,slope_mudstone_b
13,training_data/training_data_patch_12.h5|segmentation|0|5,slope_valley
13,training_data/training_data_patch_12.h5|segmentation|0|6,submarine_canyon
14,training_data/training_data_patch_13.h5|volume|0,image
14,training_data/training_data_patch_13.h5|segmentation|0|1,basement
14,training_data/training_data_patch_13.h5|segmentation|0|2,slope_mudstone_a
14,training_data/training_data_patch_13.h5|segmentation|0|3,mass_transport_deposit
14,training_data/training_data_patch_13.h5|segmentation|0|4,slope_mudstone_b
14,training_data/training_data_patch_13.h5|segmentation|0|5,slope_valley
14,training_data/training_data_patch_13.h5|segmentation|0|6,submarine_canyon
15,training_data/training_data_patch_14.h5|volume|0,image
15,training_data/training_data_patch_14.h5|segmentation|0|1,basement
15,training_data/training_data_patch_14.h5|segmentation|0|2,slope_mudstone_a
15,training_data/training_data_patch_14.h5|segmentation|0|3,mass_transport_deposit
15,training_data/training_data_patch_14.h5|segmentation|0|4,slope_mudstone_b
15,training_data/training_data_patch_14.h5|segmentation|0|5,slope_valley
15,training_data/training_data_patch_14.h5|segmentation|0|6,submarine_canyon
16,training_data/training_data_patch_15.h5|volume|0,image
16,training_data/training_data_patch_15.h5|segmentation|0|1,basement
16,training_data/training_data_patch_15.h5|segmentation|0|2,slope_mudstone_a
16,training_data/training_data_patch_15.h5|segmentation|0|3,mass_transport_deposit
16,training_data/training_data_patch_15.h5|segmentation|0|4,slope_mudstone_b
16,training_data/training_data_patch_15.h5|segmentation|0|5,slope_valley
16,training_data/training_data_patch_15.h5|segmentation|0|6,submarine_canyon
17,training_data/training_data_patch_16.h5|volume|0,image
17,training_data/training_data_patch_16.h5|segmentation|0|1,basement
17,training_data/training_data_patch_16.h5|segmentation|0|2,slope_mudstone_a
17,training_data/training_data_patch_16.h5|segmentation|0|3,mass_transport_deposit
17,training_data/training_data_patch_16.h5|segmentation|0|4,slope_mudstone_b
17,training_data/training_data_patch_16.h5|segmentation|0|5,slope_valley
17,training_data/training_data_patch_16.h5|segmentation|0|6,submarine_canyon
18,training_data/training_data_patch_17.h5|volume|0,image
18,training_data/training_data_patch_17.h5|segmentation|0|1,basement
18,training_data/training_data_patch_17.h5|segmentation|0|2,slope_mudstone_a
18,training_data/training_data_patch_17.h5|segmentation|0|3,mass_transport_deposit
18,training_data/training_data_patch_17.h5|segmentation|0|4,slope_mudstone_b
18,training_data/training_data_patch_17.h5|segmentation|0|5,slope_valley
18,training_data/training_data_patch_17.h5|segmentation|0|6,submarine_canyon
19,training_data/training_data_patch_18.h5|volume|0,image
19,training_data/training_data_patch_18.h5|segmentation|0|1,basement
19,training_data/training_data_patch_18.h5|segmentation|0|2,slope_mudstone_a
19,training_data/training_data_patch_18.h5|segmentation|0|3,mass_transport_deposit
19,training_data/training_data_patch_18.h5|segmentation|0|4,slope_mudstone_b
19,training_data/training_data_patch_18.h5|segmentation|0|5,slope_valley
19,training_data/training_data_patch_18.h5|segmentation|0|6,submarine_canyon
20,training_data/training_data_patch_19.h5|volume|0,image
20,training_data/training_data_patch_19.h5|segmentation|0|1,basement
20,training_data/training_data_patch_19.h5|segmentation|0|2,slope_mudstone_a
20,training_data/training_data_patch_19.h5|segmentation|0|3,mass_transport_deposit
20,training_data/training_data_patch_19.h5|segmentation|0|4,slope_mudstone_b
20,training_data/training_data_patch_19.h5|segmentation|0|5,slope_valley
20,training_data/training_data_patch_19.h5|segmentation|0|6,submarine_canyon
21,training_data/training_data_patch_20.h5|volume|0,image
21,training_data/training_data_patch_20.h5|segmentation|0|1,basement
21,training_data/training_data_patch_20.h5|segmentation|0|2,slope_mudstone_a
21,training_data/training_data_patch_20.h5|segmentation|0|3,mass_transport_deposit
21,training_data/training_data_patch_20.h5|segmentation|0|4,slope_mudstone_b
21,training_data/training_data_patch_20.h5|segmentation|0|5,slope_valley
21,training_data/training_data_patch_20.h5|segmentation|0|6,submarine_canyon
22,training_data/training_data_patch_21.h5|volume|0,image
22,training_data/training_data_patch_21.h5|segmentation|0|1,basement
22,training_data/training_data_patch_21.h5|segmentation|0|2,slope_mudstone_a
22,training_data/training_data_patch_21.h5|segmentation|0|3,mass_transport_deposit
22,training_data/training_data_patch_21.h5|segmentation|0|4,slope_mudstone_b
22,training_data/training_data_patch_21.h5|segmentation|0|5,slope_valley
22,training_data/training_data_patch_21.h5|segmentation|0|6,submarine_canyon
23,training_data/training_data_patch_22.h5|volume|0,image
23,training_data/training_data_patch_22.h5|segmentation|0|1,basement
23,training_data/training_data_patch_22.h5|segmentation|0|2,slope_mudstone_a
23,training_data/training_data_patch_22.h5|segmentation|0|3,mass_transport_deposit
23,training_data/training_data_patch_22.h5|segmentation|0|4,slope_mudstone_b
23,training_data/training_data_patch_22.h5|segmentation|0|5,slope_valley
23,training_data/training_data_patch_22.h5|segmentation|0|6,submarine_canyon
24,training_data/training_data_patch_23.h5|volume|0,image
24,training_data/training_data_patch_23.h5|segmentation|0|1,basement
24,training_data/training_data_patch_23.h5|segmentation|0|2,slope_mudstone_a
24,training_data/training_data_patch_23.h5|segmentation|0|3,mass_transport_deposit
24,training_data/training_data_patch_23.h5|segmentation|0|4,slope_mudstone_b
24,training_data/training_data_patch_23.h5|segmentation|0|5,slope_valley
24,training_data/training_data_patch_23.h5|segmentation|0|6,submarine_canyon
25,training_data/training_data_patch_24.h5|volume|0,image
25,training_data/training_data_patch_24.h5|segmentation|0|1,basement
25,training_data/training_data_patch_24.h5|segmentation|0|2,slope_mudstone_a
25,training_data/training_data_patch_24.h5|segmentation|0|3,mass_transport_deposit
25,training_data/training_data_patch_24.h5|segmentation|0|4,slope_mudstone_b
25,training_data/training_data_patch_24.h5|segmentation|0|5,slope_valley
25,training_data/training_data_patch_24.h5|segmentation|0|6,submarine_canyon
26,training_data/training_data_patch_25.h5|volume|0,image
26,training_data/training_data_patch_25.h5|segmentation|0|1,basement
26,training_data/training_data_patch_25.h5|segmentation|0|2,slope_mudstone_a
26,training_data/training_data_patch_25.h5|segmentation|0|3,mass_transport_deposit
26,training_data/training_data_patch_25.h5|segmentation|0|4,slope_mudstone_b
26,training_data/training_data_patch_25.h5|segmentation|0|5,slope_valley
26,training_data/training_data_patch_25.h5|segmentation|0|6,submarine_canyon
27,training_data/training_data_patch_26.h5|volume|0,image
27,training_data/training_data_patch_26.h5|segmentation|0|1,basement
27,training_data/training_data_patch_26.h5|segmentation|0|2,slope_mudstone_a
27,training_data/training_data_patch_26.h5|segmentation|0|3,mass_transport_deposit
27,training_data/training_data_patch_26.h5|segmentation|0|4,slope_mudstone_b
27,training_data/training_data_patch_26.h5|segmentation|0|5,slope_valley
27,training_data/training_data_patch_26.h5|segmentation|0|6,submarine_canyon
28,training_data/training_data_patch_27.h5|volume|0,image
28,training_data/training_data_patch_27.h5|segmentation|0|1,basement
28,training_data/training_data_patch_27.h5|segmentation|0|2,slope_mudstone_a
28,training_data/training_data_patch_27.h5|segmentation|0|3,mass_transport_deposit
28,training_data/training_data_patch_27.h5|segmentation|0|4,slope_mudstone_b
28,training_data/training_data_patch_27.h5|segmentation|0|5,slope_valley
28,training_data/training_data_patch_27.h5|segmentation|0|6,submarine_canyon
29,training_data/training_data_patch_28.h5|volume|0,image
29,training_data/training_data_patch_28.h5|segmentation|0|1,basement
29,training_data/training_data_patch_28.h5|segmentation|0|2,slope_mudstone_a
29,training_data/training_data_patch_28.h5|segmentation|0|3,mass_transport_deposit
29,training_data/training_data_patch_28.h5|segmentation|0|4,slope_mudstone_b
29,training_data/training_data_patch_28.h5|segmentation|0|5,slope_valley
29,training_data/training_data_patch_28.h5|segmentation|0|6,submarine_canyon
30,training_data/training_data_patch_29.h5|volume|0,image
30,training_data/training_data_patch_29.h5|segmentation|0|1,basement
30,training_data/training_data_patch_29.h5|segmentation|0|2,slope_mudstone_a
30,training_data/training_data_patch_29.h5|segmentation|0|3,mass_transport_deposit
30,training_data/training_data_patch_29.h5|segmentation|0|4,slope_mudstone_b
30,training_data/training_data_patch_29.h5|segmentation|0|5,slope_valley
30,training_data/training_data_patch_29.h5|segmentation|0|6,submarine_canyon
31,training_data/training_data_patch_30.h5|volume|0,image
31,training_data/training_data_patch_30.h5|segmentation|0|1,basement
31,training_data/training_data_patch_30.h5|segmentation|0|2,slope_mudstone_a
31,training_data/training_data_patch_30.h5|segmentation|0|3,mass_transport_deposit
31,training_data/training_data_patch_30.h5|segmentation|0|4,slope_mudstone_b
31,training_data/training_data_patch_30.h5|segmentation|0|5,slope_valley
31,training_data/training_data_patch_30.h5|segmentation|0|6,submarine_canyon
32,training_data/training_data_patch_31.h5|volume|0,image
32,training_data/training_data_patch_31.h5|segmentation|0|1,basement
32,training_data/training_data_patch_31.h5|segmentation|0|2,slope_mudstone_a
32,training_data/training_data_patch_31.h5|segmentation|0|3,mass_transport_deposit
32,training_data/training_data_patch_31.h5|segmentation|0|4,slope_mudstone_b
32,training_data/training_data_patch_31.h5|segmentation|0|5,slope_valley
32,training_data/training_data_patch_31.h5|segmentation|0|6,submarine_canyon
33,training_data/training_data_patch_32.h5|volume|0,image
33,training_data/training_data_patch_32.h5|segmentation|0|1,basement
33,training_data/training_data_patch_32.h5|segmentation|0|2,slope_mudstone_a
33,training_data/training_data_patch_32.h5|segmentation|0|3,mass_transport_deposit
33,training_data/training_data_patch_32.h5|segmentation|0|4,slope_mudstone_b
33,training_data/training_data_patch_32.h5|segmentation|0|5,slope_valley
33,training_data/training_data_patch_32.h5|segmentation|0|6,submarine_canyon
34,training_data/training_data_patch_33.h5|volume|0,image
34,training_data/training_data_patch_33.h5|segmentation|0|1,basement
34,training_data/training_data_patch_33.h5|segmentation|0|2,slope_mudstone_a
34,training_data/training_data_patch_33.h5|segmentation|0|3,mass_transport_deposit
34,training_data/training_data_patch_33.h5|segmentation|0|4,slope_mudstone_b
34,training_data/training_data_patch_33.h5|segmentation|0|5,slope_valley
34,training_data/training_data_patch_33.h5|segmentation|0|6,submarine_canyon
35,training_data/training_data_patch_34.h5|volume|0,image
35,training_data/training_data_patch_34.h5|segmentation|0|1,basement
35,training_data/training_data_patch_34.h5|segmentation|0|2,slope_mudstone_a
35,training_data/training_data_patch_34.h5|segmentation|0|3,mass_transport_deposit
35,training_data/training_data_patch_34.h5|segmentation|0|4,slope_mudstone_b
35,training_data/training_data_patch_34.h5|segmentation|0|5,slope_valley
35,training_data/training_data_patch_34.h5|segmentation|0|6,submarine_canyon
36,training_data/training_data_patch_35.h5|volume|0,image
36,training_data/training_data_patch_35.h5|segmentation|0|1,basement
36,training_data/training_data_patch_35.h5|segmentation|0|2,slope_mudstone_a
36,training_data/training_data_patch_35.h5|segmentation|0|3,mass_transport_deposit
36,training_data/training_data_patch_35.h5|segmentation|0|4,slope_mudstone_b
36,training_data/training_data_patch_35.h5|segmentation|0|5,slope_valley
36,training_data/training_data_patch_35.h5|segmentation|0|6,submarine_canyon
37,training_data/training_data_patch_36.h5|volume|0,image
37,training_data/training_data_patch_36.h5|segmentation|0|1,basement
37,training_data/training_data_patch_36.h5|segmentation|0|2,slope_mudstone_a
37,training_data/training_data_patch_36.h5|segmentation|0|3,mass_transport_deposit
37,training_data/training_data_patch_36.h5|segmentation|0|4,slope_mudstone_b
37,training_data/training_data_patch_36.h5|segmentation|0|5,slope_valley
37,training_data/training_data_patch_36.h5|segmentation|0|6,submarine_canyon
38,training_data/training_data_patch_37.h5|volume|0,image
38,training_data/training_data_patch_37.h5|segmentation|0|1,basement
38,training_data/training_data_patch_37.h5|segmentation|0|2,slope_mudstone_a
38,training_data/training_data_patch_37.h5|segmentation|0|3,mass_transport_deposit
38,training_data/training_data_patch_37.h5|segmentation|0|4,slope_mudstone_b
38,training_data/training_data_patch_37.h5|segmentation|0|5,slope_valley
38,training_data/training_data_patch_37.h5|segmentation|0|6,submarine_canyon
39,training_data/training_data_patch_38.h5|volume|0,image
39,training_data/training_data_patch_38.h5|segmentation|0|1,basement
39,training_data/training_data_patch_38.h5|segmentation|0|2,slope_mudstone_a
39,training_data/training_data_patch_38.h5|segmentation|0|3,mass_transport_deposit
39,training_data/training_data_patch_38.h5|segmentation|0|4,slope_mudstone_b
39,training_data/training_data_patch_38.h5|segmentation|0|5,slope_valley
39,training_data/training_data_patch_38.h5|segmentation|0|6,submarine_canyon
40,training_data/training_data_patch_39.h5|volume|0,image
40,training_data/training_data_patch_39.h5|segmentation|0|1,basement
40,training_data/training_data_patch_39.h5|segmentation|0|2,slope_mudstone_a
40,training_data/training_data_patch_39.h5|segmentation|0|3,mass_transport_deposit
40,training_data/training_data_patch_39.h5|segmentation|0|4,slope_mudstone_b
40,training_data/training_data_patch_39.h5|segmentation|0|5,slope_valley
40,training_data/training_data_patch_39.h5|segmentation|0|6,submarine_canyon
41,training_data/training_data_patch_40.h5|volume|0,image
41,training_data/training_data_patch_40.h5|segmentation|0|1,basement
41,training_data/training_data_patch_40.h5|segmentation|0|2,slope_mudstone_a
41,training_data/training_data_patch_40.h5|segmentation|0|3,mass_transport_deposit
41,training_data/training_data_patch_40.h5|segmentation|0|4,slope_mudstone_b
41,training_data/training_data_patch_40.h5|segmentation|0|5,slope_valley
41,training_data/training_data_patch_40.h5|segmentation|0|6,submarine_canyon
42,training_data/training_data_patch_41.h5|volume|0,image
42,training_data/training_data_patch_41.h5|segmentation|0|1,basement
42,training_data/training_data_patch_41.h5|segmentation|0|2,slope_mudstone_a
42,training_data/training_data_patch_41.h5|segmentation|0|3,mass_transport_deposit
42,training_data/training_data_patch_41.h5|segmentation|0|4,slope_mudstone_b
42,training_data/training_data_patch_41.h5|segmentation|0|5,slope_valley
42,training_data/training_data_patch_41.h5|segmentation|0|6,submarine_canyon
43,training_data/training_data_patch_42.h5|volume|0,image
43,training_data/training_data_patch_42.h5|segmentation|0|1,basement
43,training_data/training_data_patch_42.h5|segmentation|0|2,slope_mudstone_a
43,training_data/training_data_patch_42.h5|segmentation|0|3,mass_transport_deposit
43,training_data/training_data_patch_42.h5|segmentation|0|4,slope_mudstone_b
43,training_data/training_data_patch_42.h5|segmentation|0|5,slope_valley
43,training_data/training_data_patch_42.h5|segmentation|0|6,submarine_canyon
44,training_data/training_data_patch_43.h5|volume|0,image
44,training_data/training_data_patch_43.h5|segmentation|0|1,basement
44,training_data/training_data_patch_43.h5|segmentation|0|2,slope_mudstone_a
44,training_data/training_data_patch_43.h5|segmentation|0|3,mass_transport_deposit
44,training_data/training_data_patch_43.h5|segmentation|0|4,slope_mudstone_b
44,training_data/training_data_patch_43.h5|segmentation|0|5,slope_valley
44,training_data/training_data_patch_43.h5|segmentation|0|6,submarine_canyon
45,training_data/training_data_patch_44.h5|volume|0,image
45,training_data/training_data_patch_44.h5|segmentation|0|1,basement
45,training_data/training_data_patch_44.h5|segmentation|0|2,slope_mudstone_a
45,training_data/training_data_patch_44.h5|segmentation|0|3,mass_transport_deposit
45,training_data/training_data_patch_44.h5|segmentation|0|4,slope_mudstone_b
45,training_data/training_data_patch_44.h5|segmentation|0|5,slope_valley
45,training_data/training_data_patch_44.h5|segmentation|0|6,submarine_canyon
46,training_data/training_data_patch_45.h5|volume|0,image
46,training_data/training_data_patch_45.h5|segmentation|0|1,basement
46,training_data/training_data_patch_45.h5|segmentation|0|2,slope_mudstone_a
46,training_data/training_data_patch_45.h5|segmentation|0|3,mass_transport_deposit
46,training_data/training_data_patch_45.h5|segmentation|0|4,slope_mudstone_b
46,training_data/training_data_patch_45.h5|segmentation|0|5,slope_valley
46,training_data/training_data_patch_45.h5|segmentation|0|6,submarine_canyon
47,training_data/training_data_patch_46.h5|volume|0,image
47,training_data/training_data_patch_46.h5|segmentation|0|1,basement
47,training_data/training_data_patch_46.h5|segmentation|0|2,slope_mudstone_a
47,training_data/training_data_patch_46.h5|segmentation|0|3,mass_transport_deposit
47,training_data/training_data_patch_46.h5|segmentation|0|4,slope_mudstone_b
47,training_data/training_data_patch_46.h5|segmentation|0|5,slope_valley
47,training_data/training_data_patch_46.h5|segmentation|0|6,submarine_canyon
48,training_data/training_data_patch_47.h5|volume|0,image
48,training_data/training_data_patch_47.h5|segmentation|0|1,basement
48,training_data/training_data_patch_47.h5|segmentation|0|2,slope_mudstone_a
48,training_data/training_data_patch_47.h5|segmentation|0|3,mass_transport_deposit
48,training_data/training_data_patch_47.h5|segmentation|0|4,slope_mudstone_b
48,training_data/training_data_patch_47.h5|segmentation|0|5,slope_valley
48,training_data/training_data_patch_47.h5|segmentation|0|6,submarine_canyon
49,training_data/training_data_patch_48.h5|volume|0,image
49,training_data/training_data_patch_48.h5|segmentation|0|1,basement
49,training_data/training_data_patch_48.h5|segmentation|0|2,slope_mudstone_a
49,training_data/training_data_patch_48.h5|segmentation|0|3,mass_transport_deposit
49,training_data/training_data_patch_48.h5|segmentation|0|4,slope_mudstone_b
49,training_data/training_data_patch_48.h5|segmentation|0|5,slope_valley
49,training_data/training_data_patch_48.h5|segmentation|0|6,submarine_canyon
50,training_data/training_data_patch_49.h5|volume|0,image
50,training_data/training_data_patch_49.h5|segmentation|0|1,basement
50,training_data/training_data_patch_49.h5|segmentation|0|2,slope_mudstone_a
50,training_data/training_data_patch_49.h5|segmentation|0|3,mass_transport_deposit
50,training_data/training_data_patch_49.h5|segmentation|0|4,slope_mudstone_b
50,training_data/training_data_patch_49.h5|segmentation|0|5,slope_valley
50,training_data/training_data_patch_49.h5|segmentation|0|6,submarine_canyon
51,training_data/training_data_patch_50.h5|volume|0,image
51,training_data/training_data_patch_50.h5|segmentation|0|1,basement
51,training_data/training_data_patch_50.h5|segmentation|0|2,slope_mudstone_a
51,training_data/training_data_patch_50.h5|segmentation|0|3,mass_transport_deposit
51,training_data/training_data_patch_50.h5|segmentation|0|4,slope_mudstone_b
51,training_data/training_data_patch_50.h5|segmentation|0|5,slope_valley
51,training_data/training_data_patch_50.h5|segmentation|0|6,submarine_canyon
52,training_data/training_data_patch_51.h5|volume|0,image
52,training_data/training_data_patch_51.h5|segmentation|0|1,basement
52,training_data/training_data_patch_51.h5|segmentation|0|2,slope_mudstone_a
52,training_data/training_data_patch_51.h5|segmentation|0|3,mass_transport_deposit
52,training_data/training_data_patch_51.h5|segmentation|0|4,slope_mudstone_b
52,training_data/training_data_patch_51.h5|segmentation|0|5,slope_valley
52,training_data/training_data_patch_51.h5|segmentation|0|6,submarine_canyon
53,training_data/training_data_patch_52.h5|volume|0,image
53,training_data/training_data_patch_52.h5|segmentation|0|1,basement
53,training_data/training_data_patch_52.h5|segmentation|0|2,slope_mudstone_a
53,training_data/training_data_patch_52.h5|segmentation|0|3,mass_transport_deposit
53,training_data/training_data_patch_52.h5|segmentation|0|4,slope_mudstone_b
53,training_data/training_data_patch_52.h5|segmentation|0|5,slope_valley
53,training_data/training_data_patch_52.h5|segmentation|0|6,submarine_canyon
54,training_data/training_data_patch_53.h5|volume|0,image
54,training_data/training_data_patch_53.h5|segmentation|0|1,basement
54,training_data/training_data_patch_53.h5|segmentation|0|2,slope_mudstone_a
54,training_data/training_data_patch_53.h5|segmentation|0|3,mass_transport_deposit
54,training_data/training_data_patch_53.h5|segmentation|0|4,slope_mudstone_b
54,training_data/training_data_patch_53.h5|segmentation|0|5,slope_valley
54,training_data/training_data_patch_53.h5|segmentation|0|6,submarine_canyon
55,training_data/training_data_patch_54.h5|volume|0,image
55,training_data/training_data_patch_54.h5|segmentation|0|1,basement
55,training_data/training_data_patch_54.h5|segmentation|0|2,slope_mudstone_a
55,training_data/training_data_patch_54.h5|segmentation|0|3,mass_transport_deposit
55,training_data/training_data_patch_54.h5|segmentation|0|4,slope_mudstone_b
55,training_data/training_data_patch_54.h5|segmentation|0|5,slope_valley
55,training_data/training_data_patch_54.h5|segmentation|0|6,submarine_canyon
56,training_data/training_data_patch_55.h5|volume|0,image
56,training_data/training_data_patch_55.h5|segmentation|0|1,basement
56,training_data/training_data_patch_55.h5|segmentation|0|2,slope_mudstone_a
56,training_data/training_data_patch_55.h5|segmentation|0|3,mass_transport_deposit
56,training_data/training_data_patch_55.h5|segmentation|0|4,slope_mudstone_b
56,training_data/training_data_patch_55.h5|segmentation|0|5,slope_valley
56,training_data/training_data_patch_55.h5|segmentation|0|6,submarine_canyon
57,training_data/training_data_patch_56.h5|volume|0,image
57,training_data/training_data_patch_56.h5|segmentation|0|1,basement
57,training_data/training_data_patch_56.h5|segmentation|0|2,slope_mudstone_a
57,training_data/training_data_patch_56.h5|segmentation|0|3,mass_transport_deposit
57,training_data/training_data_patch_56.h5|segmentation|0|4,slope_mudstone_b
57,training_data/training_data_patch_56.h5|segmentation|0|5,slope_valley
57,training_data/training_data_patch_56.h5|segmentation|0|6,submarine_canyon
58,training_data/training_data_patch_57.h5|volume|0,image
58,training_data/training_data_patch_57.h5|segmentation|0|1,basement
58,training_data/training_data_patch_57.h5|segmentation|0|2,slope_mudstone_a
58,training_data/training_data_patch_57.h5|segmentation|0|3,mass_transport_deposit
58,training_data/training_data_patch_57.h5|segmentation|0|4,slope_mudstone_b
58,training_data/training_data_patch_57.h5|segmentation|0|5,slope_valley
58,training_data/training_data_patch_57.h5|segmentation|0|6,submarine_canyon
59,training_data/training_data_patch_58.h5|volume|0,image
59,training_data/training_data_patch_58.h5|segmentation|0|1,basement
59,training_data/training_data_patch_58.h5|segmentation|0|2,slope_mudstone_a
59,training_data/training_data_patch_58.h5|segmentation|0|3,mass_transport_deposit
59,training_data/training_data_patch_58.h5|segmentation|0|4,slope_mudstone_b
59,training_data/training_data_patch_58.h5|segmentation|0|5,slope_valley
59,training_data/training_data_patch_58.h5|segmentation|0|6,submarine_canyon
60,training_data/training_data_patch_59.h5|volume|0,image
60,training_data/training_data_patch_59.h5|segmentation|0|1,basement
60,training_data/training_data_patch_59.h5|segmentation|0|2,slope_mudstone_a
60,training_data/training_data_patch_59.h5|segmentation|0|3,mass_transport_deposit
60,training_data/training_data_patch_59.h5|segmentation|0|4,slope_mudstone_b
